"","B_R-B2_1_5404","B_R-B3_1_5405","B_R-B4_1_5406","B_R-D5_1_5407","B_R-D6_1_5408","B_R-D7_1_5409","B_R-D8_1_5410","B_R-D9_1_5411","B_R-E1_1_5412","B_R-E2_1_5413","L_R-E3_1_5424","L_R-E4_1_5425","L_R-E5_1_5426","L_R-E6_1_5427","L_R-E7_1_5428","L_R-E8_1_5429","L_R-F2_1_5433","L_R-F3_1_5434","M_R-E9_1_5435","M_R-F1_1_5436","M_R-F2_1_5437","M_R-F2_1_5439","M_R-F3_1_5438","M_R-F3_1_5440","P_R-C1_1_5414","P_R-C2_1_5415","P_R-C3_1_5416","P_R-C4_1_5417","P_R-C5_1_5418","P_R-C6_1_5419","P_R-C7_1_5420","P_R-C8_1_5421","P_R-C9_1_5422","P_R-D1_1_5423"
"Q80TT8",4.15694292551596,3.79682488366137,2.20024649935345,NA,2.54529211009871,10.3232503545776,2.9334847774355,3.10793547790739,2.00496961992783,NA,NA,NA,NA,NA,NA,NA,2.40741023379839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TV8",4.43304739228035,5.50905067599099,5.00369711456136,4.85599830458285,4.9782578551016,9.55924219493878,4.64161714434657,6.17149846399988,4.38401816700397,6.35084415225875,1.89998527084175,0.171696301813484,5.06520623365009,0.629000269573415,0.426971116180022,NA,4.78611578257917,0.41232526436279,0.594214435577967,0.946210047409085,2.87771410999365,1.85523947525466,1.65759565516444,2.11197359986693,1.37645372484752,NA,2.30915730705331,1.49233098267975,1.73344000777518,1.49420040260663,1.30498494992567,1.08088532565566,2.33025660702018,3.10833817287171
"Q80TY0",4.62281091478323,4.68259639556811,3.93771927634095,3.73129746690516,2.85566011265262,6.99663239670052,3.15837741899935,5.74844309203025,5.59161943552406,3.91009508736279,2.16042989875554,1.12737658029451,0.952907658348225,1.08120996182445,0.615554662001501,1.24204003532585,1.15881482572478,1.39463210438818,0.719006951842251,1.35098989808764,1.77576643563777,2.77444976441139,1.77780330600506,1.85960578251413,5.66995935340083,NA,NA,1.17439441337533,1.58506735745669,1.48273531771232,NA,0.999283595458216,NA,2.6309660951359
"Q80TY5",2.95093008395691,NA,0.308760560500129,0.689388738430127,0.406171718829215,NA,NA,1.14287409552726,NA,NA,NA,0.307228937309321,0.477119699212964,0.581096042184013,NA,NA,NA,NA,0.733887719061804,0.511583614961857,NA,1.97991646939332,1.39825542645192,2.05831416014894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TZ3",8.23510505341118,10.7067425733132,7.77309027659003,5.99075031689643,10.1367653572445,11.084378051804,8.70638479051816,11.5331309162438,8.8712537469415,5.5262876602546,NA,NA,NA,NA,1.31570089917881,NA,NA,NA,1.44957030709903,1.61221271557726,2.66275710961314,3.25089812212819,1.28489177021489,NA,NA,1.41059985248822,NA,3.10996449132222,1.6257090449862,1.34449227180808,NA,NA,NA,2.57306547015247
"Q80TZ9",NA,2.35263889991064,0.914413794780401,1.10427010058477,1.60750425017034,2.86953951642281,1.26959091410455,1.38269687968836,NA,4.74950711183959,NA,NA,0.722787697273287,NA,NA,NA,3.67602251115911,NA,1.82979129915148,NA,5.15566461090539,3.93418556515041,4.49981334703233,NA,NA,NA,NA,NA,NA,2.79484660289459,NA,NA,NA,9.13851848499053
"Q80U04",NA,2.46371866877338,1.88869988043855,1.05120455826434,NA,NA,0.889886943667796,1.94157277927198,3.14242699043417,1.52154440996151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88954909553614,NA,1.82557054259063,NA,0.898010455706293,NA,0.838923199605198,NA,NA,NA
"Q80U12",1.4488067979623,NA,2.02183938139656,NA,3.65201571522595,10.3617619217772,1.27914554553537,3.1392332938053,1.39596085781345,1.29873252590023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U16",0.816577114669418,NA,1.20299604276458,1.62222773452255,1.41796403881498,2.40884006792534,1.22057501843163,1.84798872307078,NA,NA,NA,1.10912128282215,0.266851112171473,NA,0.348555480537234,NA,0.413370033034747,NA,0.278057888034281,1.14773567740038,2.2540796996898,2.12371766185752,1.77776959483274,1.84845205041916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U19",3.13813049425566,3.84456223064339,2.56667850538671,4.33384272155558,3.44118385565502,5.86350452261084,2.96313741676336,4.79581486994934,2.64218061217766,2.53649885790255,NA,NA,NA,NA,1.31600994320069,NA,1.43793965015557,NA,NA,NA,NA,3.03459666619672,NA,3.01696167493096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U22",3.1835057794935,3.43579442238545,1.58601080876271,1.52213604133127,1.89173231012367,4.15168519317941,1.91485783245972,1.22121697715212,NA,NA,NA,3.08432900705937,NA,NA,NA,NA,2.7033623007077,NA,NA,NA,9.5990171548105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U23",6.84008513324091,7.68603887528988,5.98690479440302,6.19856285273148,8.02510925581428,8.88569893174409,6.94021903385302,8.18414620856885,5.22075790425464,3.89245223734056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
